Gene,Treatment,Expression_Level
BRCA1,Control,12.5
BRCA1,Control,13.2
BRCA1,Control,11.8
BRCA1,Control,14.1
BRCA1,Control,12.9
BRCA1,Control,13.5
BRCA1,Control,12.2
BRCA1,Control,13.8
BRCA1,Drug_A,28.3
BRCA1,Drug_A,31.2
BRCA1,Drug_A,26.5
BRCA1,Drug_A,33.1
BRCA1,Drug_A,29.7
BRCA1,Drug_A,32.4
BRCA1,Drug_A,27.8
BRCA1,Drug_A,30.5
BRCA1,Drug_B,18.2
BRCA1,Drug_B,19.5
BRCA1,Drug_B,17.3
BRCA1,Drug_B,20.1
BRCA1,Drug_B,18.8
BRCA1,Drug_B,19.9
BRCA1,Drug_B,17.9
BRCA1,Drug_B,18.5
TP53,Control,8.3
TP53,Control,8.9
TP53,Control,7.8
TP53,Control,9.2
TP53,Control,8.5
TP53,Control,9.0
TP53,Control,8.1
TP53,Control,8.7
TP53,Drug_A,15.2
TP53,Drug_A,16.8
TP53,Drug_A,14.5
TP53,Drug_A,17.3
TP53,Drug_A,15.9
TP53,Drug_A,16.5
TP53,Drug_A,14.8
TP53,Drug_A,16.1
TP53,Drug_B,11.3
TP53,Drug_B,12.1
TP53,Drug_B,10.8
TP53,Drug_B,12.5
TP53,Drug_B,11.7
TP53,Drug_B,12.3
TP53,Drug_B,11.0
TP53,Drug_B,11.9
EGFR,Control,22.1
EGFR,Control,23.5
EGFR,Control,21.3
EGFR,Control,24.2
EGFR,Control,22.8
EGFR,Control,23.9
EGFR,Control,21.7
EGFR,Control,24.5
EGFR,Drug_A,35.2
EGFR,Drug_A,38.1
EGFR,Drug_A,33.8
EGFR,Drug_A,39.5
EGFR,Drug_A,36.7
EGFR,Drug_A,37.9
EGFR,Drug_A,34.5
EGFR,Drug_A,38.8
EGFR,Drug_B,28.3
EGFR,Drug_B,29.7
EGFR,Drug_B,27.5
EGFR,Drug_B,30.2
EGFR,Drug_B,28.9
EGFR,Drug_B,30.5
EGFR,Drug_B,27.8
EGFR,Drug_B,29.4
MYC,Control,15.6
MYC,Control,16.3
MYC,Control,14.9
MYC,Control,17.1
MYC,Control,15.8
MYC,Control,16.7
MYC,Control,15.2
MYC,Control,16.5
MYC,Drug_A,32.5
MYC,Drug_A,35.8
MYC,Drug_A,30.2
MYC,Drug_A,37.1
MYC,Drug_A,33.9
MYC,Drug_A,36.2
MYC,Drug_A,31.5
MYC,Drug_A,34.8
MYC,Drug_B,22.1
MYC,Drug_B,24.3
MYC,Drug_B,20.8
MYC,Drug_B,25.5
MYC,Drug_B,23.2
MYC,Drug_B,24.8
MYC,Drug_B,21.5
MYC,Drug_B,23.9
