Temperature,Humidity,WindSpeed,PM25,PM10,O3,NO2,SO2
28.5,65,2.3,85,120,145,42,18
32.1,58,1.8,92,135,168,38,15
25.3,72,3.5,45,68,98,55,22
30.8,55,1.2,110,158,182,35,12
22.1,80,4.2,32,48,72,62,28
35.2,42,0.8,125,180,205,28,10
27.6,68,2.8,72,105,132,48,20
31.5,52,1.5,105,148,175,32,13
24.8,75,3.8,38,55,85,58,25
29.3,62,2.1,88,128,155,40,17
33.8,48,1.0,118,170,195,30,11
26.2,70,3.2,52,78,105,52,23
21.5,82,4.8,28,42,65,65,30
34.5,45,0.9,122,175,200,29,11
28.0,66,2.5,78,115,140,44,19
30.2,58,1.6,98,142,170,36,14
23.5,78,4.0,35,52,78,60,27
31.0,54,1.3,108,155,178,33,12
27.2,69,2.9,65,95,125,50,21
36.0,38,0.5,135,195,215,25,8
25.8,73,3.4,42,62,92,56,24
29.8,60,2.0,90,132,160,39,16
33.2,50,1.1,115,165,190,31,11
22.8,79,4.5,30,45,70,63,29
28.9,64,2.4,82,118,148,43,18
31.8,53,1.4,102,150,172,34,13
24.2,76,3.9,36,54,82,59,26
30.5,57,1.7,95,138,165,37,14
26.8,71,3.0,55,82,110,51,22
35.5,40,0.7,130,185,208,27,9
