Temperature_C,Pressure_MPa,Reaction_Rate,Group
25,0.10,0.52,Low_Pressure
28,0.12,0.61,Low_Pressure
30,0.11,0.58,Low_Pressure
33,0.13,0.72,Low_Pressure
35,0.10,0.68,Low_Pressure
38,0.14,0.85,Low_Pressure
40,0.12,0.79,Low_Pressure
42,0.11,0.74,Low_Pressure
45,0.13,0.91,Low_Pressure
48,0.15,1.03,Low_Pressure
50,0.14,0.97,Low_Pressure
55,0.12,0.88,Low_Pressure
25,0.50,1.24,Medium_Pressure
28,0.52,1.38,Medium_Pressure
30,0.48,1.31,Medium_Pressure
33,0.51,1.52,Medium_Pressure
35,0.53,1.61,Medium_Pressure
38,0.49,1.75,Medium_Pressure
40,0.55,1.89,Medium_Pressure
42,0.50,1.82,Medium_Pressure
45,0.52,2.05,Medium_Pressure
48,0.54,2.21,Medium_Pressure
50,0.51,2.12,Medium_Pressure
55,0.53,2.35,Medium_Pressure
25,1.00,2.85,High_Pressure
28,1.02,3.12,High_Pressure
30,0.98,3.01,High_Pressure
33,1.05,3.45,High_Pressure
35,1.01,3.38,High_Pressure
38,1.03,3.72,High_Pressure
40,0.99,3.65,High_Pressure
42,1.04,3.98,High_Pressure
45,1.00,4.15,High_Pressure
48,1.02,4.42,High_Pressure
50,1.06,4.58,High_Pressure
55,1.01,4.85,High_Pressure
