Method,Measurement
ELISA,12.5
ELISA,13.2
ELISA,11.8
ELISA,14.1
ELISA,12.9
ELISA,13.5
ELISA,12.2
ELISA,13.8
ELISA,11.5
ELISA,14.5
ELISA,12.0
ELISA,13.0
ELISA,14.8
ELISA,11.2
ELISA,13.6
ELISA,12.7
ELISA,14.2
ELISA,11.9
ELISA,13.3
ELISA,12.4
ELISA,15.1
ELISA,10.8
ELISA,13.9
ELISA,12.1
ELISA,14.0
ELISA,11.6
ELISA,13.4
ELISA,12.6
ELISA,14.3
ELISA,11.3
HPLC,18.5
HPLC,22.3
HPLC,15.8
HPLC,25.1
HPLC,19.7
HPLC,28.5
HPLC,14.2
HPLC,32.0
HPLC,16.5
HPLC,30.8
HPLC,20.3
HPLC,24.6
HPLC,13.5
HPLC,35.2
HPLC,17.8
HPLC,26.9
HPLC,21.5
HPLC,33.1
HPLC,15.2
HPLC,29.4
HPLC,23.8
HPLC,27.5
HPLC,18.0
HPLC,31.5
HPLC,19.2
HPLC,25.8
HPLC,22.0
HPLC,16.0
HPLC,34.0
Mass_Spec,42.1
Mass_Spec,43.5
Mass_Spec,41.8
Mass_Spec,44.2
Mass_Spec,42.9
Mass_Spec,43.1
Mass_Spec,41.5
Mass_Spec,44.8
Mass_Spec,42.3
Mass_Spec,43.7
Mass_Spec,41.2
Mass_Spec,44.5
Mass_Spec,42.6
Mass_Spec,43.3
Mass_Spec,41.9
Mass_Spec,44.1
Mass_Spec,42.0
Mass_Spec,43.8
Mass_Spec,41.6
Mass_Spec,44.4
Mass_Spec,42.7
Mass_Spec,43.0
Mass_Spec,41.3
Mass_Spec,44.6
Mass_Spec,42.4
Mass_Spec,43.6
Mass_Spec,41.7
Mass_Spec,44.3
Mass_Spec,42.2
Mass_Spec,43.4
Western_Blot,8.2
Western_Blot,15.5
Western_Blot,5.8
Western_Blot,22.3
Western_Blot,10.1
Western_Blot,18.7
Western_Blot,7.5
Western_Blot,25.0
Western_Blot,12.8
Western_Blot,16.2
Western_Blot,9.3
Western_Blot,20.5
Western_Blot,6.5
Western_Blot,28.1
Western_Blot,11.5
Western_Blot,14.8
Western_Blot,8.8
Western_Blot,19.2
Western_Blot,7.0
Western_Blot,23.5
Western_Blot,13.2
Western_Blot,17.5
Western_Blot,6.0
Western_Blot,26.8
Western_Blot,10.8
Western_Blot,15.0
Western_Blot,9.8
Western_Blot,21.2
Western_Blot,12.0
Western_Blot,16.8
