Gene,Treatment,Expression_Level
BRCA1,Control,12.5
BRCA1,Control,13.2
BRCA1,Control,11.8
BRCA1,Control,14.1
BRCA1,Control,12.9
BRCA1,Control,13.5
BRCA1,Control,12.2
BRCA1,Control,13.8
BRCA1,Drug_X,28.3
BRCA1,Drug_X,31.2
BRCA1,Drug_X,26.5
BRCA1,Drug_X,33.1
BRCA1,Drug_X,29.7
BRCA1,Drug_X,32.4
BRCA1,Drug_X,27.8
BRCA1,Drug_X,30.5
BRCA1,Drug_Y,18.2
BRCA1,Drug_Y,19.5
BRCA1,Drug_Y,17.3
BRCA1,Drug_Y,20.1
BRCA1,Drug_Y,18.8
BRCA1,Drug_Y,19.9
BRCA1,Drug_Y,17.9
BRCA1,Drug_Y,18.5
TP53,Control,8.3
TP53,Control,8.9
TP53,Control,7.8
TP53,Control,9.2
TP53,Control,8.5
TP53,Control,9.0
TP53,Control,8.1
TP53,Control,8.7
TP53,Drug_X,15.2
TP53,Drug_X,16.8
TP53,Drug_X,14.5
TP53,Drug_X,17.3
TP53,Drug_X,15.9
TP53,Drug_X,16.5
TP53,Drug_X,14.8
TP53,Drug_X,16.1
TP53,Drug_Y,11.3
TP53,Drug_Y,12.1
TP53,Drug_Y,10.8
TP53,Drug_Y,12.5
TP53,Drug_Y,11.7
TP53,Drug_Y,12.3
TP53,Drug_Y,11.0
TP53,Drug_Y,11.9
EGFR,Control,22.1
EGFR,Control,23.5
EGFR,Control,21.3
EGFR,Control,24.2
EGFR,Control,22.8
EGFR,Control,23.9
EGFR,Control,21.7
EGFR,Control,24.5
EGFR,Drug_X,35.2
EGFR,Drug_X,38.1
EGFR,Drug_X,33.8
EGFR,Drug_X,39.5
EGFR,Drug_X,36.7
EGFR,Drug_X,37.9
EGFR,Drug_X,34.5
EGFR,Drug_X,38.8
EGFR,Drug_Y,28.3
EGFR,Drug_Y,29.7
EGFR,Drug_Y,27.5
EGFR,Drug_Y,30.2
EGFR,Drug_Y,28.9
EGFR,Drug_Y,30.5
EGFR,Drug_Y,27.8
EGFR,Drug_Y,29.4
