Diameter_nm,Zeta_Potential_mV,Fluorescence_AU,Concentration_mM,Type
25.3,-32.5,1250,0.5,Gold
30.1,-28.7,1580,0.8,Gold
22.8,-35.2,980,0.3,Gold
28.5,-30.1,1420,0.6,Gold
35.2,-25.8,1890,1.0,Gold
18.6,-38.4,720,0.2,Gold
42.1,-22.3,2350,1.5,Gold
33.7,-27.5,1680,0.9,Gold
48.5,-18.2,3120,2.0,Silver
52.3,-15.8,3580,2.5,Silver
45.2,-20.5,2850,1.8,Silver
55.8,-12.3,4020,3.0,Silver
40.1,-23.1,2480,1.5,Silver
58.2,-10.5,4350,3.5,Silver
50.7,-16.9,3380,2.8,Silver
62.5,-8.2,4850,4.0,Silver
15.2,-42.1,520,0.1,QD_CdSe
12.8,-45.8,380,0.08,QD_CdSe
18.5,-39.5,680,0.15,QD_CdSe
20.3,-36.8,820,0.2,QD_CdSe
10.5,-48.2,280,0.05,QD_CdSe
16.8,-40.8,590,0.12,QD_CdSe
22.1,-34.5,950,0.25,QD_CdSe
14.0,-44.0,450,0.09,QD_CdSe
