CellType,Viability,Proliferation,Migration,Apoptosis,ROS_Level,ATP_Content
Hepatocyte,85.2,72.5,45.3,12.8,35.2,88.5
Hepatocyte,82.1,68.3,42.1,15.5,38.1,85.2
Hepatocyte,88.5,75.8,48.7,10.2,32.5,91.3
Hepatocyte,80.5,65.2,40.5,18.3,42.0,82.1
Hepatocyte,86.8,70.1,44.8,13.5,36.8,87.0
Hepatocyte,84.3,73.5,46.2,11.8,34.5,89.8
Neuron,72.5,55.8,28.3,22.5,48.2,65.3
Neuron,68.2,52.1,25.5,28.1,52.5,60.8
Neuron,75.8,58.3,32.1,18.5,45.0,68.5
Neuron,70.1,50.5,22.8,30.2,55.8,58.2
Neuron,78.3,60.2,35.5,16.8,42.3,72.1
Neuron,74.5,56.8,30.2,20.5,50.1,63.5
Cardiomyocyte,90.5,45.2,15.8,8.5,28.5,95.2
Cardiomyocyte,88.2,42.8,12.5,10.2,30.1,92.8
Cardiomyocyte,92.1,48.5,18.2,6.8,25.8,97.5
Cardiomyocyte,86.5,40.1,10.8,12.5,32.8,90.5
Cardiomyocyte,91.8,46.8,16.5,7.5,27.2,96.1
Cardiomyocyte,89.5,44.5,14.2,9.8,29.5,94.0
